"Frequency (kHz)","Fine In 1 (V)","Fine In 2 (V)",
1.607948,0.000202,0.000019,
1.612957,0.000150,0.000017,
1.617966,0.000108,0.000048,
1.622975,0.000150,0.000047,
1.627985,0.000321,0.000057,
1.632994,0.000183,0.000021,
1.638003,0.000357,0.000079,
1.643012,0.000061,0.000019,
1.648021,0.000065,0.000035,
1.653030,0.000080,0.000068,
1.658040,0.000102,0.000030,
1.663049,0.000307,0.000075,
1.668058,0.000188,0.000023,
1.673067,0.000280,0.000038,
1.678076,0.000305,0.000035,
1.683085,0.000222,0.000060,
1.688095,0.000166,0.000027,
1.693104,0.000317,0.000034,
1.698113,0.000202,0.000038,
1.703122,0.000144,0.000065,
1.708131,0.000022,0.000027,
1.713140,0.000097,0.000037,
1.718150,0.000158,0.000055,
1.723159,0.000076,0.000036,
1.728168,0.000291,0.000087,
1.733177,0.000207,0.000014,
1.738186,0.000166,0.000032,
1.743196,0.000108,0.000008,
1.748205,0.000300,0.000024,
1.753214,0.000130,0.000071,
1.758223,0.000153,0.000048,
1.763232,0.000217,0.000019,
1.768241,0.000208,0.000047,
1.773251,0.000198,0.000067,
1.778260,0.000141,0.000081,
1.783269,0.000378,0.000043,
1.788278,0.000353,0.000057,
1.793287,0.000202,0.000017,
1.798296,0.000116,0.000020,
1.803306,0.000137,0.000065,
1.808315,0.000104,0.000033,
1.813324,0.000173,0.000021,
1.818333,0.000177,0.000044,
1.823342,0.000057,0.000076,
1.828351,0.000143,0.000103,
1.833361,0.000124,0.000019,
1.838370,0.000207,0.000065,
1.843379,0.000144,0.000019,
1.848388,0.000411,0.000059,
1.853397,0.000165,0.000023,
1.858407,0.000035,0.000054,
1.863416,0.000017,0.000048,
1.868425,0.000292,0.000027,
1.873434,0.000073,0.000064,
1.878443,0.000069,0.000026,
1.883452,0.000207,0.000018,
1.888462,0.000327,0.000042,
1.893471,0.000175,0.000053,
1.898480,0.000122,0.000007,
1.903489,0.000397,0.000037,
1.908498,0.000216,0.000035,
1.913507,0.000252,0.000064,
1.918517,0.000099,0.000029,
1.923526,0.000139,0.000071,
1.928535,0.000087,0.000072,
1.933544,0.000267,0.000017,
1.938553,0.000309,0.000037,
1.943563,0.000409,0.000044,
1.948572,0.000037,0.000035,
1.953581,0.000251,0.000033,
1.958590,0.000236,0.000051,
1.963599,0.000112,0.000029,
1.968608,0.000241,0.000062,
1.973618,0.000159,0.000015,
1.978627,0.000114,0.000003,
1.983636,0.000052,0.000031,
1.988645,0.000037,0.000013,
1.993654,0.000308,0.000077,
1.998663,0.000319,0.000032,
2.003673,0.000352,0.000012,
2.008682,0.000215,0.000035,
2.013691,0.000292,0.000024,
2.018700,0.000244,0.000026,
2.023709,0.000184,0.000016,
2.028718,0.000140,0.000066,
2.033728,0.000252,0.000051,
2.038737,0.000172,0.000042,
2.043746,0.000205,0.000035,
2.048755,0.000118,0.000034,
2.053764,0.000103,0.000043,
2.058774,0.000302,0.000045,
2.063783,0.000267,0.000058,
2.068792,0.000168,0.000069,
2.073801,0.000152,0.000037,
2.078810,0.000112,0.000039,
2.083819,0.000115,0.000015,
2.088829,0.000153,0.000039,
2.093838,0.000141,0.000057,
2.098847,0.000202,0.000034,
2.103856,0.000161,0.000015,
2.108865,0.000147,0.000017,
2.113874,0.000233,0.000100,
2.118884,0.000195,0.000020,
2.123893,0.000250,0.000066,
2.128902,0.000170,0.000023,
2.133911,0.000149,0.000068,
2.138920,0.000089,0.000022,
2.143929,0.000260,0.000049,
2.148939,0.000108,0.000037,
2.153948,0.000196,0.000038,
2.158957,0.000153,0.000023,
2.163966,0.000174,0.000057,
2.168975,0.000180,0.000030,
2.173985,0.000140,0.000011,
2.178994,0.000188,0.000046,
2.184003,0.000229,0.000037,
2.189012,0.000258,0.000055,
2.194021,0.000209,0.000055,
2.199030,0.000192,0.000049,
2.204040,0.000088,0.000026,
2.209049,0.000081,0.000024,
2.214058,0.000207,0.000051,
2.219067,0.000237,0.000051,
2.224076,0.000224,0.000029,
2.229085,0.000219,0.000029,
2.234095,0.000168,0.000035,
2.239104,0.000384,0.000024,
2.244113,0.000179,0.000020,
2.249122,0.000208,0.000043,
2.254131,0.000111,0.000034,
2.259140,0.000174,0.000053,
2.264150,0.000099,0.000040,
2.269159,0.000048,0.000072,
2.274168,0.000251,0.000028,
2.279177,0.000317,0.000020,
2.284186,0.000407,0.000044,
2.289196,0.000183,0.000041,
2.294205,0.000141,0.000028,
2.299214,0.000107,0.000044,
2.304223,0.000036,0.000042,
2.309232,0.000230,0.000041,
2.314241,0.000123,0.000077,
2.319251,0.000165,0.000014,
2.324260,0.000265,0.000011,
2.329269,0.000134,0.000049,
2.334278,0.000300,0.000071,
2.339287,0.000161,0.000054,
2.344296,0.000069,0.000023,
2.349306,0.000087,0.000011,
2.354315,0.000244,0.000047,
2.359324,0.000263,0.000030,
2.364333,0.000377,0.000080,
2.369342,0.000159,0.000014,
2.374352,0.000211,0.000046,
2.379361,0.000172,0.000030,
2.384370,0.000245,0.000018,
2.389379,0.000226,0.000035,
2.394388,0.000155,0.000013,
2.399397,0.000357,0.000096,
2.404407,0.000295,0.000044,
2.409416,0.000178,0.000028,
2.414425,0.000150,0.000013,
2.419434,0.000180,0.000058,
2.424443,0.000195,0.000020,
2.429452,0.000182,0.000030,
2.434462,0.000278,0.000045,
2.439471,0.000051,0.000009,
2.444480,0.000089,0.000080,
2.449489,0.000394,0.000021,
2.454498,0.000251,0.000039,
2.459507,0.000230,0.000030,
2.464517,0.000139,0.000020,
2.469526,0.000260,0.000029,
2.474535,0.000284,0.000030,
2.479544,0.000185,0.000019,
2.484553,0.000261,0.000048,
2.489563,0.000329,0.000050,
2.494572,0.000205,0.000032,
2.499581,0.000161,0.000046,
2.504590,0.000291,0.000028,
2.509599,0.000192,0.000120,
2.514608,0.000276,0.000011,
2.519618,0.000231,0.000015,
2.524627,0.000048,0.000088,
2.529636,0.000292,0.000021,
2.534645,0.000277,0.000019,
2.539654,0.000129,0.000049,
2.544663,0.000192,0.000019,
2.549673,0.000014,0.000043,
2.554682,0.000163,0.000056,
2.559691,0.000260,0.000032,
